-  1, users : Пользователи 
-  -  2, create : Создание 
-  -  3, list : Список 
-  -  -  4, active : Активные 
-  -  -  -  20, first : Первые 
-  -  -  -  21, second : Вторые 
-  -  -  5, deleted : Удаленные 
-  -  8, search : Поиск 
-  6, requests : Заявки 
-  -  9, connecting : Заявки на поключение 
-  -  10, repairs : Заявки на ремонт 
-  -  11, round : Заявки на обход 
-  7, reports : Отчёты 
-  -  12, marketing : Отдел маркетинга 
-  -  -  15, write-offs : Отчёт по списаниям 
-  -  -  16, costs : Отчёт по расходам 
-  -  -  17, year : Годовой отчёт 
-  -  14, control : Управление 
-  -  -  18, efficiency : Отчёт по эффективности работы 
-  -  -  19, connecting : Отчёт по подключениям 
